Screened Patients,Declined - Not interested in research,116,2022-01-12T16:00:59
Screened Patients,Declined - COVID-related,3,2022-01-12T16:00:59
Screened Patients,Declined - Compensation insufficient,2,2022-01-12T16:00:59
Screened Patients,Declined - Specific study procedure,124,2022-01-12T16:00:59
Screened Patients,Declined - Time related,388,2022-01-12T16:00:59
Screened Patients,Declined - No reason provided,345,2022-01-12T16:00:59
Screened Patients,Consented Patients,271,2022-01-12T16:00:59
Consented Patients,Withdrawl Prior to Surgery - Subject chose to discontinue the study,10,2022-01-12T16:00:59
Consented Patients,Withdrawl Prior to Surgery - Site PI chose to discontinue subject participation,4,2022-01-12T16:00:59
Consented Patients,"Withdrawl Prior to Surgery - Subject is lost to follow-up, unable to locate",2,2022-01-12T16:00:59
Consented Patients,Patients Reaching Baseline,228,2022-01-12T16:00:59
Patients Reaching Baseline,Patients With Surgery,217,2022-01-12T16:00:59
Patients With Surgery,Early Terminations - Subject chose to discontinue the study,2,2022-01-12T16:00:59
Patients With Surgery,"Early Terminations - Subject is lost to follow-up, unable to locate",1,2022-01-12T16:00:59
Patients With Surgery,Patients Reaching Week 6,191,2022-01-12T16:00:59
Patients Reaching Week 6,Early Terminations - Subject chose to discontinue the study,1,2022-01-12T16:00:59
Patients Reaching Week 6,Patients Reaching Month 3,124,2022-01-12T16:00:59
Patients Reaching Month 3,Patients Reaching Month 6,46,2022-01-12T16:00:59
